Time (s),PF,RR,BAT,MT
0.417214,4051.490000,4051.490000,4051.490000,4051.490000
0.418214,4051.380000,4051.380000,4051.380000,4051.380000
0.419214,4051.260000,4051.260000,4051.260000,4051.260000
0.420214,4051.150000,4051.150000,4051.150000,4051.150000
0.421214,4051.030000,4051.030000,4051.030000,4051.030000
0.422214,4050.920000,4050.920000,4050.920000,4050.920000
0.423214,4050.800000,4050.800000,4050.800000,4050.800000
0.424214,4050.680000,4050.680000,4050.680000,4050.680000
0.425214,4050.570000,4050.570000,4050.570000,4050.570000
0.426214,4050.450000,4050.450000,4050.450000,4050.450000
0.427214,4050.340000,4050.340000,4050.340000,4050.340000
0.428214,4050.220000,4050.220000,4050.220000,4050.220000
0.429214,4050.110000,4050.110000,4050.110000,4050.110000
0.430214,4049.990000,4049.990000,4049.990000,4049.990000
0.431214,4049.880000,4049.880000,4049.880000,4049.880000
0.432214,4049.760000,4049.760000,4049.760000,4049.760000
0.433214,4049.650000,4049.650000,4049.650000,4049.650000
0.434214,4049.530000,4049.530000,4049.530000,4049.530000
0.435214,4049.410000,4049.410000,4049.410000,4049.410000
0.436214,4049.300000,4049.300000,4049.300000,4049.300000
0.437214,4049.180000,4049.180000,4049.180000,4049.180000
0.438214,4049.070000,4049.070000,4049.070000,4049.070000
0.439214,4048.950000,4048.950000,4048.950000,4048.950000
0.440214,4048.840000,4048.840000,4048.840000,4048.840000
0.441214,4048.720000,4048.720000,4048.720000,4048.720000
0.442214,4048.610000,4048.610000,4048.610000,4048.610000
0.443214,4048.490000,4048.490000,4048.490000,4048.490000
0.444214,4048.380000,4048.380000,4048.380000,4048.380000
0.445214,4048.260000,4048.260000,4048.260000,4048.260000
0.446214,4048.150000,4048.150000,4048.150000,4048.150000
0.447214,4048.030000,4048.030000,4048.030000,4048.030000
0.448214,4047.910000,4047.910000,4047.910000,4047.910000
0.449214,4047.800000,4047.800000,4047.800000,4047.800000
0.450214,4047.680000,4047.680000,4047.680000,4047.680000
0.451214,4047.570000,4047.570000,4047.570000,4047.570000
0.452214,4047.450000,4047.450000,4047.450000,4047.450000
